File_size,Time
5481118,3.618086814880371
5489150,3.555886745452881
5489150,3.428492784500122
5468373,3.4572339057922363
5468373,3.357248306274414
5390905,3.3895602226257324
5468373,3.4093847274780273
5536282,3.427084445953369
5536282,3.605225086212158
5536282,4.382027864456177
5490701,3.7113616466522217
5510076,3.550501585006714
5518352,3.6280319690704346
5419135,3.7221627235412598
5486127,3.626246213912964
5481118,3.585646390914917
5476606,3.6459810733795166
5539614,4.108378648757935
5454401,3.939262628555298
5556775,3.781547784805298
5477355,3.611600160598755
5447838,3.6090450286865234
5490101,4.183328866958618
5458669,4.126360654830933
5538686,4.1967854499816895
5442088,3.774200201034546
5457474,3.7140047550201416
5413921,3.556422710418701
5479950,3.843817949295044
5476721,3.820288896560669
5489150,4.179361343383789
5394091,3.6553854942321777
5473614,3.7452945709228516
5524023,3.7277910709381104
5481691,4.098682880401611
5472255,3.884363889694214
5474553,3.714853525161743
5501887,3.5664150714874268
5537447,3.7136387825012207
5396477,3.6012532711029053
5431433,3.532531261444092
5421025,4.066738843917847
5510149,3.9816365242004395
5472924,3.8288300037384033
5556789,3.736297845840454
5535029,3.936490535736084
5494626,3.6067392826080322
5533740,3.763895273208618
5518235,4.125966310501099
5488149,3.852341413497925
5466263,3.667159080505371
5491169,3.4378418922424316
5522091,3.6779651641845703
5502015,3.835313558578491
5417696,3.7070600986480713
5390905,3.6052958965301514
5631776,4.0023040771484375
5471430,3.620406150817871
5460211,3.5556719303131104
5497035,3.7744429111480713
5522091,3.641307830810547
5542425,3.5764663219451904
5487370,3.755094051361084
5505141,4.708099842071533
5524113,3.9435863494873047
5468373,3.562939405441284
5525882,3.5890707969665527
5499225,3.619997024536133
5472406,3.744877338409424
5521161,3.6192047595977783
5490701,4.228327751159668
5510076,4.180161237716675
5518352,3.989940643310547
5454401,3.4992525577545166
5419135,3.8412280082702637
